node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8438.000000,6928.000000,0.000000,0.000000,0.216236,1.539751,0.200000,1.400000,3.624413,-1.206155,3.206946,2.684594,0.647788,0.082485,0.960598,0.225630,-0.059907
8439.000000,7000.000000,0.000000,0.000000,0.214476,0.881342,0.200000,0.800000,2.484091,0.099372,2.402021,1.276689,2.903737,-0.181252,-1.037168,-0.140607,0.060466
8440.000000,3965.000000,0.000000,0.000000,0.217224,0.878484,0.200000,0.800000,1.758982,-0.131726,1.209046,1.751695,1.220941,0.050527,-0.134067,0.148486,0.010596
8441.000000,3376.000000,0.000000,0.000000,0.221162,3.728805,0.200000,3.400000,1.681506,-1.353202,0.865186,5.924160,1.494325,0.102826,0.965013,0.095370,0.004855
8442.000000,5039.000000,0.000000,0.000000,0.225067,3.532116,0.200000,3.200000,1.752038,-1.656669,-0.125638,5.322748,2.255770,-0.071152,-0.356788,-0.062960,-0.037456
8443.000000,8377.000000,0.000000,0.000000,0.220476,2.203044,0.200000,2.000000,3.982681,-2.462331,2.926108,3.039492,1.597702,-0.249646,-0.829781,-0.300728,-0.002143
8444.000000,7834.000000,3.000000,3.000000,0.220619,1.992441,0.200000,1.800000,3.580421,-1.923930,2.842832,3.551327,1.472283,0.152546,0.361975,0.230825,0.010588
8445.000000,6897.000000,0.000000,-3.000000,0.219068,3.082006,0.200000,2.800000,1.877669,-1.591224,-0.626438,4.645132,3.497475,-0.129987,-2.908300,-0.333714,0.055418
8446.000000,1016.000000,0.000000,0.000000,0.222563,0.879783,0.200000,0.800000,2.440672,-0.227523,2.374103,1.389843,1.829583,0.044901,0.068428,0.054339,-0.013468
8447.000000,7993.000000,0.000000,-1.000000,0.218550,1.753958,0.200000,1.600000,3.845456,-2.348592,2.840498,3.444591,2.863906,-0.030543,-0.165197,-0.022669,0.010644
